# {"t_start": 1687017264.059135, "env_id": "Ant-v2"} 
r,l,t
-52.949178,21,35.370742
-79.621904,36,35.404176
-41.387406,12,35.415615
-53.842347,25,35.439118
-2889.014847,1000,36.385947
-97.925562,32,36.416085
-169.182004,66,36.477524
-51.14989,22,36.498436
-97.635558,33,36.529335
-108.751019,38,36.564443
-387.1053,108,36.661206
-143.967777,54,36.710618
-424.027293,154,36.850415
-434.316376,152,36.991219
-75.51636,21,37.01128
-217.602319,92,37.094504
-108.16184,29,37.121826
-256.604786,77,37.194441
-37.975664,14,37.209029
-227.319739,96,37.301663
-156.933663,48,37.346553
-305.977105,104,37.442773
-110.88265,58,37.49594
-303.497748,98,37.584646
-323.782209,112,37.698159
-68.250948,21,37.719937
-99.839789,32,37.752099
-232.461769,86,37.837832
-120.539167,33,37.870849
-115.821844,48,37.915897
-194.124299,63,37.973185
-172.691961,67,38.03465
-55.480225,23,38.056763
-126.523513,49,38.102701
-73.052416,18,38.120216
-169.740332,41,38.157389
-74.138935,16,38.172181
-139.445025,57,38.224687
-78.397354,48,38.270521
-92.813602,31,38.299598
-157.063759,40,38.337234
-144.124367,50,38.383089
-250.513539,83,38.458064
-88.19983,29,38.485166
-242.552569,103,38.579428
-59.167945,18,38.596232
-168.58694,51,38.641286
-151.881792,57,38.694497
-56.523241,31,38.723674
-64.258409,39,38.759339
-165.139565,53,38.809396
-32.61865,10,38.819264
-195.171665,81,38.892241
-190.228918,72,38.957747
-133.533801,54,39.007364
-39.096287,14,39.021215
-79.751536,31,39.04956
-59.922741,27,39.07385
-110.149006,40,39.110969
-139.571768,51,39.158691
-198.616828,67,39.22047
-2846.217124,1000,40.154602
-76.417663,24,40.176884
-64.767244,18,40.193699
-76.012355,22,40.213844
-210.080809,70,40.276481
-109.614199,47,40.320743
-175.584163,62,40.379699
-2768.769235,1000,41.312641
-286.350862,93,41.401284
-61.248359,20,41.420469
-42.657795,22,41.441151
-104.648931,31,41.470082
-82.264438,31,41.499147
-283.97723,110,41.599478
-362.505635,109,41.704715
-2729.436833,1000,42.873369
-71.31248,38,42.916465
-33.504626,8,42.926428
-92.764867,48,42.979791
-151.74453,53,43.040006
-49.567903,23,43.066931
-233.425554,74,43.149791
-97.164329,37,43.191087
-173.400913,54,43.25286
-72.387808,32,43.290713
-66.689163,26,43.321272
-85.987074,26,43.351195
-50.527636,22,43.376689
-353.655015,155,43.550185
-196.519916,75,43.633172
-69.134865,30,43.668289
-160.341728,50,44.842488
-73.614349,27,44.868151
-241.890027,72,44.933352
-315.32075,121,45.042604
-176.831585,54,45.09281
-81.170608,17,45.108526
-85.480702,35,45.141404
-36.900053,16,45.156502
-160.260663,68,45.218056
-132.792123,58,45.271314
-102.277769,43,45.311513
-58.869194,27,45.337511
-218.853111,88,45.41577
-55.94858,16,45.431478
-111.877639,34,45.463308
-82.75185,32,45.493203
-231.116783,92,45.576732
-71.295662,28,45.602926
-236.282337,91,45.684898
-155.799081,44,45.725253
-142.754063,54,45.775542
-120.370879,39,45.81145
-163.403147,56,45.861014
-34.814963,20,45.880304
-67.869323,24,45.902932
-88.693714,27,45.928492
-68.760024,29,45.955642
-62.095083,19,45.97359
-60.960993,21,45.99393
-140.087222,45,46.035607
-44.245977,14,46.048855
-51.215923,13,46.061486
-27.651268,13,46.073818
-43.845637,15,46.088315
-132.701074,39,46.12418
-81.446439,25,46.147693
-288.146319,119,46.255955
-175.906399,85,46.332279
-54.348507,18,46.349663
-131.212843,35,46.382825
-135.892424,54,46.432433
-2779.112525,1000,47.357102
-132.674211,45,47.398428
-104.573868,32,47.427782
-121.490183,54,47.47694
-41.014858,14,47.490865
-152.8964,54,47.540782
-49.885261,20,47.559811
-38.812601,14,47.572909
-46.259573,13,47.585391
-255.481073,85,47.660523
-44.091664,22,47.681098
-218.404993,87,47.761413
-116.317798,40,47.799188
-90.426818,27,47.824499
-139.22144,39,47.860978
-238.415632,86,47.938102
-53.511308,13,47.950778
-139.069723,67,48.012632
-132.803062,37,48.047672
-50.348165,13,48.060055
-173.547081,53,48.106434
-59.67898,19,48.124675
-114.295997,35,48.157393
-265.931166,93,48.243415
-44.836057,24,48.266208
-69.809152,19,48.284148
-157.308355,53,48.332555
-142.880075,49,48.376298
-57.508167,18,48.393419
-51.426141,16,48.408884
-146.297445,47,48.45183
-81.217222,31,48.4815
-48.377869,14,48.495137
-66.833404,18,48.512223
-145.696177,61,48.565743
-103.742591,37,48.600224
-81.00029,26,48.624763
-34.848143,15,48.639361
-33.734471,15,48.653574
-172.552588,47,48.69715
-51.84759,22,48.717562
-61.846705,17,48.734056
-444.4279,162,48.878682
-248.874709,92,48.962856
-188.23828,71,49.026558
-49.161477,15,49.041243
-149.879802,57,49.093962
-76.48434,23,49.115614
-199.303287,54,49.166214
-96.21415,25,49.189544
-31.982913,13,49.201982
-102.752647,37,49.235605
-197.124715,61,49.290738
-119.550878,50,49.337241
-105.382683,39,49.374323
-103.206332,37,49.408815
-191.430524,56,49.458347
-75.163776,25,49.48178
-2803.753327,1000,50.406605
-2689.666548,1000,51.33524
-235.164614,65,51.396063
-192.759172,56,51.448387
-2416.320676,878,52.258892
-36.300551,11,52.269945
-50.116889,20,52.288769
-265.266203,97,52.377256
-78.361588,28,52.403157
-103.23297,35,52.435183
-158.28277,54,52.484308
-77.549668,19,52.502628
-84.524871,21,52.522932
-113.398399,42,52.561302
-115.23791,33,52.590754
-97.182386,31,52.619889
-47.128773,19,52.638246
-98.107948,30,52.666718
-82.218268,26,52.69123
-103.289194,34,52.72273
-106.306599,38,52.758474
-95.161968,39,52.795147
-38.629627,20,52.814178
-91.345803,38,52.84883
-2767.329979,1000,53.774601
-248.481734,114,53.878834
-49.695249,15,53.893356
-92.361405,38,53.932953
-167.399577,71,54.012948
-81.015819,28,54.045611
-110.618377,30,55.202468
-71.650767,30,55.230655
-118.411077,47,55.273385
-205.016427,60,55.327196
-74.754009,33,55.358521
-67.149712,24,55.381347
-46.124984,18,55.398566
-2873.209998,1000,56.321712
-54.840217,23,56.343656
-117.533433,46,56.386689
-88.468942,29,56.413349
-78.511713,56,56.46427
-62.919399,17,56.480829
-75.864746,18,56.498031
-46.213703,16,56.513519
-43.115924,20,56.532687
-80.70687,22,56.553744
-197.337177,90,56.635145
-87.134835,27,56.659518
-108.717143,27,56.684772
-98.179705,32,56.714807
-268.499047,70,56.779376
-64.012828,28,56.805967
-116.925063,69,56.869118
-117.768725,42,56.90787
-49.917749,13,56.920551
-45.410831,13,56.933601
-100.606082,30,56.961388
-118.793088,40,56.99823
-26.629348,14,57.011611
-21.953613,11,57.022328
-2755.758447,1000,57.951383
-92.626417,37,57.984618
-162.506406,43,58.023963
-380.638224,132,58.146553
-268.995159,108,58.244682
-63.677268,27,58.269713
-2911.43421,1000,59.198822
-68.832765,29,59.226305
-2753.248217,1000,60.14952
-28.233196,15,60.164268
-315.109775,139,60.288997
-242.025318,94,60.375895
-2800.669296,1000,61.299883
-50.290657,17,61.31612
-89.730104,31,61.345602
-140.929473,56,61.396427
-16.275736,8,61.404568
-191.699648,62,61.461034
-188.417979,44,61.502333
-103.014832,32,61.532734
-50.720466,17,61.549383
-92.157345,26,61.573049
-197.819355,69,61.634931
-40.349386,15,61.649593
-96.962788,46,61.692098
-227.972473,82,61.767419
-80.126166,43,61.806851
-84.18344,33,61.838306
-236.344523,86,61.916511
-404.615175,187,62.084574
-253.832446,91,62.169145
-263.744845,96,62.25792
-44.081091,30,62.285133
-118.239441,32,62.314636
-66.359211,23,62.336206
-337.684947,125,62.450268
-48.868925,24,62.472134
-91.389641,23,62.492986
-106.487491,35,62.525445
-1002.966556,380,62.872014
-35.563132,18,62.889828
-115.798494,48,62.93259
-75.093823,38,62.966766
-35.156703,12,62.978689
-51.981127,17,62.995361
-68.887717,34,63.02708
-144.499558,57,63.080049
-86.658571,30,63.107926
-88.187277,40,63.145327
-540.254521,230,63.35662
-63.848094,25,63.379905
-28.100206,16,63.394563
-95.397869,34,63.426122
-127.647678,41,63.464314
-224.914306,98,63.555532
-73.156874,24,63.577976
-59.010477,24,63.600547
-196.539266,83,63.67606
-54.547799,22,63.696718
-123.334052,35,63.729629
-339.926906,111,63.830217
-57.417105,21,63.849412
-50.906775,17,63.865773
-45.288056,13,63.878322
-81.977251,27,63.903813
-148.250937,48,63.948303
-2690.676511,1000,65.979477
-2622.127294,1000,66.906532
-39.618316,16,66.922386
-2592.270362,1000,67.848639
-82.283696,28,67.87383
-25.111609,15,67.887883
-2759.495879,1000,68.818291
-2803.924333,1000,69.74286
-99.388947,37,69.776363
-140.116751,48,69.819753
-223.613507,98,69.907126
-36.688853,18,69.923709
-60.719442,19,69.941312
-188.327529,76,70.008958
-171.071506,77,70.079007
-21.15304,11,70.089419
-53.93279,19,70.106214
-2779.182457,1000,71.009505
-101.044566,47,71.054349
-73.724088,32,71.083855
-98.224905,36,71.116471
-55.343664,21,71.136009
-63.749912,26,71.16019
-25.954103,12,71.171486
-71.583721,35,71.202863
-230.891355,73,71.268305
-162.115205,59,71.320732
-2684.195304,1000,72.224344
-113.469732,39,72.259393
-74.258466,25,72.282305
-224.837105,84,72.358228
-63.296797,19,72.37511
-2598.839622,1000,73.287056
-41.924827,23,73.308497
-231.741635,69,73.371596
-32.895031,16,73.386814
-87.565959,41,73.423737
-122.518181,45,73.464369
-71.803052,27,73.488808
-88.797973,34,73.519816
-2784.896114,1000,74.424994
